Chromosome	Start	End	NA	Strand
ATP5F1C	chr10	7788147	7807815	NA	+
TAF3	chr10	7818505	8016631	NA	+
GATA3	chr10	8045378	8075198	NA	+
USP6NL	chr10	11453946	11611754	NA	-
ECHDC3	chr10	11742366	11764070	NA	+
PROSER2	chr10	11823339	11872277	NA	+
UPF2	chr10	11920022	12043170	NA	-
DHTKD1	chr10	12068954	12123221	NA	+
SEC61A2	chr10	12129637	12169961	NA	+
NUDT5	chr10	12165330	12196144	NA	-
CDC123	chr10	12195965	12250589	NA	+
CAMK1D	chr10	12349547	12835545	NA	+
CCDC3	chr10	12896625	13099652	NA	-
OPTN	chr10	13099449	13138308	NA	+
MCM10	chr10	13161558	13211110	NA	+
PHYH	chr10	13277796	13302412	NA	-
SEPHS1	chr10	13317428	13348298	NA	-
BEND7	chr10	13438484	13528974	NA	-
PRPF18	chr10	13586939	13630859	NA	+
FRMD4A	chr10	13643706	14462142	NA	-
FAM107B	chr10	14518557	14774897	NA	-
CDNF	chr10	14819245	14838575	NA	-
HSPA14	chr10	14838306	14871741	NA	+
SUV39H2	chr10	14878820	14904315	NA	+
DCLRE1C	chr10	14897359	14954432	NA	-
ACBD7	chr10	15075475	15088776	NA	-
RPP38	chr10	15097180	15139818	NA	+
NMT2	chr10	15102584	15168693	NA	-
FAM171A1	chr10	15211643	15371289	NA	-
MINDY3	chr10	15778170	15860507	NA	-
PTER	chr10	16436943	16513745	NA	+
C1QL3	chr10	16513734	16521879	NA	-
RSU1	chr10	16590611	16817463	NA	-
CUBN	chr10	16823966	17129811	NA	-
TRDMT1	chr10	17137336	17202054	NA	-
VIM	chr10	17228241	17237593	NA	+
ST8SIA6	chr10	17315421	17454595	NA	-
HACD1	chr10	17589032	17617374	NA	-
STAM	chr10	17644151	17716824	NA	+
CACNB2	chr10	18140424	18543557	NA	+
NSUN6	chr10	18545561	18659285	NA	-
ARL5B	chr10	18659431	18681639	NA	+
NEBL	chr10	20779973	21293011	NA	-
SKIDA1	chr10	21513475	21526368	NA	-
MLLT10	chr10	21524646	21743630	NA	+
DNAJC1	chr10	21756548	22003769	NA	-
COMMD3	chr10	22316386	22320306	NA	+
COMMD3-BMI1	chr10	22316388	22329542	NA	+
BMI1	chr10	22321099	22331484	NA	+
PIP4K2A	chr10	22534854	22714578	NA	-
ARMC3	chr10	22928024	23038523	NA	+
MSRB2	chr10	23095579	23122013	NA	+
OTUD1	chr10	23439075	23442377	NA	+
KIAA1217	chr10	23694746	24547848	NA	+
ARHGAP21	chr10	24583609	24723887	NA	-
THNSL1	chr10	25016612	25026664	NA	+
GPR158	chr10	25174802	25602229	NA	+
PDSS1	chr10	26697701	26746798	NA	+
ABI1	chr10	26746593	26861087	NA	-
ANKRD26	chr10	26973793	27100494	NA	-
YME1L1	chr10	27110111	27155266	NA	-
MASTL	chr10	27154824	27187953	NA	+
ACBD5	chr10	27168135	27243046	NA	-
RAB18	chr10	27504174	27543207	NA	+
MKX	chr10	27672874	27746060	NA	-
MPP7	chr10	28050993	28334486	NA	-
WAC	chr10	28532493	28623112	NA	+
BAMBI	chr10	28677510	28682932	NA	+
SVIL	chr10	29457338	29736959	NA	-
JCAD	chr10	30012803	30115494	NA	-
MTPAP	chr10	30309801	30374448	NA	-
MAP3K8	chr10	30434021	30461833	NA	+
ZNF438	chr10	30820207	31031937	NA	-
ZEB1	chr10	31318495	31529814	NA	+
ARHGAP12	chr10	31805398	31928876	NA	-
KIF5B	chr10	32009015	32056425	NA	-
EPC1	chr10	32267751	32378798	NA	-
CCDC7	chr10	32446140	32882874	NA	+
ITGB1	chr10	32887273	33005792	NA	-
NRP1	chr10	33177492	33336262	NA	-
PARD3	chr10	34109560	34815325	NA	-
CUL2	chr10	35008551	35090642	NA	-
CREM	chr10	35126791	35212958	NA	+
CCNY	chr10	35247025	35572669	NA	+
ZNF248	chr10	37776526	37858106	NA	-
ZNF25	chr10	37949573	37976647	NA	-
ZNF33A	chr10	38010650	38065088	NA	+
ZNF37A	chr10	38094334	38150293	NA	+
ZNF33B	chr10	42574185	42638570	NA	-
BMS1	chr10	42782795	42834937	NA	+
RET	chr10	43077064	43130351	NA	+
CSGALNACT2	chr10	43138445	43185302	NA	+
RASGEF1A	chr10	43194535	43267065	NA	-
HNRNPF	chr10	43385617	43409186	NA	-
ZNF487	chr10	43436841	43483181	NA	+
ZNF239	chr10	43556344	43574618	NA	-
ZNF485	chr10	43606419	43617904	NA	+
ZNF32	chr10	43643860	43648881	NA	-
RASSF4	chr10	44959407	44995891	NA	+
DEPP1	chr10	44970981	44978809	NA	-
ZNF22	chr10	45000923	45005326	NA	+
ALOX5	chr10	45374176	45446119	NA	+
ZFAND4	chr10	45615500	45672780	NA	-
WASHC2C	chr10	45727200	45792964	NA	+
AGAP4	chr10	45825613	45853875	NA	-
TIMM23	chr10	45972489	46003742	NA	+
NCOA4	chr10	46005088	46030623	NA	-
GPRIN2	chr10	46549044	46555530	NA	-
ZNF488	chr10	47365496	47384293	NA	-
AGAP9	chr10	47501854	47523638	NA	-
MAPK8	chr10	48306639	48439360	NA	+
ARHGAP22	chr10	48446036	48656265	NA	-
ERCC6	chr10	49454168	49539538	NA	-
OGDHL	chr10	49734641	49762379	NA	-
PARG	chr10	49818279	49970203	NA	-
TIMM23B	chr10	49942049	49974850	NA	+
AGAP6	chr10	49982190	50011654	NA	+
WASHC2A	chr10	50067888	50133509	NA	+
ASAH2	chr10	50182778	50279720	NA	-
SGMS1	chr10	50305586	50625163	NA	-
ASAH2B	chr10	50739318	50816495	NA	+
PRKG1	chr10	50990888	52298423	NA	+
CSTF2T	chr10	51695486	51699595	NA	-
DKK1	chr10	52314281	52318042	NA	+
ZWINT	chr10	56357227	56361273	NA	-
IPMK	chr10	58191517	58267894	NA	-
CISD1	chr10	58269162	58289586	NA	+
UBE2D1	chr10	58334979	58370751	NA	+
TFAM	chr10	58385345	58399220	NA	+
SLC16A9	chr10	59650764	59736002	NA	-
CCDC6	chr10	59788747	59906556	NA	-
ANK3	chr10	60026298	60733490	NA	-
CDK1	chr10	60778331	60794852	NA	+
RHOBTB1	chr10	60869438	61001440	NA	-
ARID5B	chr10	61901684	62096944	NA	+
RTKN2	chr10	62183035	62268844	NA	-
ZNF365	chr10	62374192	62480288	NA	+
ADO	chr10	62804720	62808479	NA	+
EGR2	chr10	62811996	62919900	NA	-
NRBF2	chr10	63133247	63155031	NA	+
JMJD1C	chr10	63167221	63521850	NA	-
REEP3	chr10	63521401	63625128	NA	+
DNAJC12	chr10	67796669	67838188	NA	-
SIRT1	chr10	67884656	67918390	NA	+
HERC4	chr10	67921899	68075301	NA	-
MYPN	chr10	68106117	68212017	NA	+
PBLD	chr10	68282660	68333049	NA	-
HNRNPH3	chr10	68331174	68343193	NA	+
RUFY2	chr10	68341107	68407294	NA	-
DNA2	chr10	68414064	68472121	NA	-
SLC25A16	chr10	68477998	68527523	NA	-
TET1	chr10	68560337	68694487	NA	+
CCAR1	chr10	68721012	68792377	NA	+
STOX1	chr10	68827531	68895432	NA	+
DDX50	chr10	68901286	68946847	NA	+
DDX21	chr10	68956170	68985068	NA	+
VPS26A	chr10	69123512	69174412	NA	+
SUPV3L1	chr10	69180234	69209099	NA	+
HK1	chr10	69269984	69401884	NA	+
TSPAN15	chr10	69451465	69507666	NA	+
FAM241B	chr10	69630247	69633596	NA	+
COL13A1	chr10	69801880	69964275	NA	+
AIFM2	chr10	70098223	70132934	NA	-
TYSND1	chr10	70137981	70146700	NA	-
SAR1A	chr10	70147289	70170523	NA	-
PPA1	chr10	70202835	70233911	NA	-
LRRC20	chr10	70298970	70382650	NA	-
EIF4EBP2	chr10	70404145	70428618	NA	+
PALD1	chr10	70478767	70568450	NA	+
PRF1	chr10	70597348	70602759	NA	-
ADAMTS14	chr10	70672506	70762441	NA	+
SGPL1	chr10	70815948	70881184	NA	+
PCBD1	chr10	70882280	70888565	NA	-
UNC5B	chr10	71212570	71302864	NA	+
SLC29A3	chr10	71319259	71381423	NA	+
VSIR	chr10	71747556	71773520	NA	-
PSAP	chr10	71816298	71851325	NA	-
CHST3	chr10	71964395	72013558	NA	+
ASCC1	chr10	72096032	72217134	NA	-
ANAPC16	chr10	72216000	72235860	NA	+
DDIT4	chr10	72273919	72276036	NA	+
DNAJB12	chr10	72332830	72355149	NA	-
MICU1	chr10	72367327	72626191	NA	-
MCU	chr10	72692131	72887694	NA	+
P4HA1	chr10	73007217	73096974	NA	-
NUDT13	chr10	73110375	73131828	NA	+
ECD	chr10	73130155	73169055	NA	-
FAM149B1	chr10	73168119	73244504	NA	+
DNAJC9	chr10	73183362	73247255	NA	-
MRPS16	chr10	73248843	73252693	NA	-
CFAP70	chr10	73253759	73358859	NA	-
ANXA7	chr10	73375101	73414076	NA	-
MSS51	chr10	73423579	73433561	NA	-
PPP3CB	chr10	73436433	73496024	NA	-
USP54	chr10	73497538	73625994	NA	-
AGAP5	chr10	73674287	73698109	NA	-
SEC24C	chr10	73744372	73772161	NA	+
FUT11	chr10	73772276	73780251	NA	+
CHCHD1	chr10	73782047	73783652	NA	+
ZSWIM8	chr10	73785606	73801797	NA	+
NDST2	chr10	73801911	73811798	NA	-
CAMK2G	chr10	73812501	73874591	NA	-
PLAU	chr10	73909177	73917496	NA	+
VCL	chr10	73995193	74121363	NA	+
AP3M1	chr10	74120255	74150842	NA	-
ADK	chr10	74151202	74709963	NA	+
KAT6B	chr10	74824927	75032624	NA	+
SAMD8	chr10	75099586	75182123	NA	+
VDAC2	chr10	75210154	75231448	NA	+
COMTD1	chr10	75233641	75236030	NA	-
ZNF503	chr10	75397830	75401764	NA	-
LRMDA	chr10	75431624	76560168	NA	+
DLG5	chr10	77790791	77926755	NA	-
POLR3A	chr10	77969251	78029515	NA	-
RPS24	chr10	78033760	78056813	NA	+
ZMIZ1	chr10	79068966	79316519	NA	+
PPIF	chr10	79347469	79355334	NA	+
ZCCHC24	chr10	79382325	79445624	NA	-
EIF5AL1	chr10	79512533	79516440	NA	+
TMEM254	chr10	80078646	80092557	NA	+
PLAC9	chr10	80131682	80145359	NA	+
ANXA11	chr10	80150889	80205572	NA	-
MAT1A	chr10	80271820	80289658	NA	-
TSPAN14	chr10	80454166	80533124	NA	+
GHITM	chr10	84139509	84153568	NA	+
CCSER2	chr10	84328586	84518521	NA	+
GRID1	chr10	85599552	86366795	NA	-
WAPL	chr10	86435256	86521792	NA	-
BMPR1A	chr10	86756601	86932825	NA	+
MMRN2	chr10	86935540	86969481	NA	-
SNCG	chr10	86958599	86963258	NA	+
ADIRF	chr10	86968432	86983934	NA	+
FAM25A	chr10	87020294	87024730	NA	+
GLUD1	chr10	87050202	87094843	NA	-
MINPP1	chr10	87504875	87553461	NA	+
PAPSS2	chr10	87659613	87747705	NA	+
ATAD1	chr10	87751512	87841361	NA	-
KLLN	chr10	87859158	87863533	NA	-
PTEN	chr10	87863625	87971930	NA	+
ANKRD22	chr10	88819896	88851844	NA	-
STAMBPL1	chr10	88879734	88975153	NA	+
ACTA2	chr10	88935074	88991339	NA	-
FAS	chr10	88990531	89017059	NA	+
LIPA	chr10	89213569	89414557	NA	-
IFIT2	chr10	89283694	89309271	NA	+
IFIT3	chr10	89327307	89377473	NA	+
IFIT1	chr10	89392546	89406487	NA	+
IFIT5	chr10	89414568	89421605	NA	+
PANK1	chr10	89582988	89645418	NA	-
KIF20B	chr10	89701590	89774939	NA	+
HTR7	chr10	90740823	90858039	NA	-
RPP30	chr10	90871952	90908553	NA	+
PCGF5	chr10	91163012	91284337	NA	+
HECTD2	chr10	91409280	91514829	NA	+
TNKS2	chr10	91798426	91865475	NA	+
FGFBP3	chr10	91906584	91909486	NA	-
BTAF1	chr10	91923770	92030325	NA	+
CPEB3	chr10	92046692	92291078	NA	-
IDE	chr10	92451684	92574096	NA	-
KIF11	chr10	92574105	92655395	NA	+
HHEX	chr10	92689955	92695647	NA	+
EXOC6	chr10	92826831	93059493	NA	+
MYOF	chr10	93306429	93482334	NA	-
CEP55	chr10	93496612	93529092	NA	+
FRA10AC1	chr10	93667883	93702592	NA	-
SLC35G1	chr10	93893973	93956062	NA	+
PLCE1	chr10	93993931	94332823	NA	+
NOC3L	chr10	94333226	94362959	NA	-
TBC1D12	chr10	94402541	94536332	NA	+
HELLS	chr10	94501434	94613905	NA	+
PDLIM1	chr10	95237572	95291012	NA	-
SORBS1	chr10	95311771	95561414	NA	-
ALDH18A1	chr10	95605941	95656711	NA	-
TCTN3	chr10	95659823	95694143	NA	-
ENTPD1	chr10	95711779	95877266	NA	+
CC2D2B	chr10	95907603	96033745	NA	+
CCNJ	chr10	96043394	96060870	NA	+
ZNF518A	chr10	96129715	96205288	NA	+
BLNK	chr10	96189171	96271587	NA	-
TLL2	chr10	96364608	96513926	NA	-
TM9SF3	chr10	96518110	96587452	NA	-
PIK3AP1	chr10	96593315	96720514	NA	-
LCOR	chr10	96832254	96995956	NA	+
ARHGAP19-SLIT1	chr10	97153045	97292637	NA	-
ARHGAP19	chr10	97222173	97292673	NA	-
FRAT1	chr10	97319271	97321915	NA	+
FRAT2	chr10	97332497	97334729	NA	-
RRP12	chr10	97356358	97426076	NA	-
PGAM1	chr10	97426191	97433444	NA	+
EXOSC1	chr10	97435909	97446017	NA	-
ZDHHC16	chr10	97446170	97457370	NA	+
MMS19	chr10	97458324	97498794	NA	-
UBTD1	chr10	97498924	97571206	NA	+
HOGA1	chr10	97584323	97612802	NA	+
MORN4	chr10	97614553	97633500	NA	-
PI4K2A	chr10	97640686	97676434	NA	+
AVPI1	chr10	97677424	97687241	NA	-
MARVELD1	chr10	97713173	97718150	NA	+
ZFYVE27	chr10	97737121	97760907	NA	+
GOLGA7B	chr10	97849843	97871580	NA	+
R3HCC1L	chr10	98134624	98244897	NA	+
LOXL4	chr10	98247690	98268194	NA	-
PYROXD2	chr10	98383565	98415182	NA	-
HPS1	chr10	98416198	98446935	NA	-
GOT1	chr10	99396870	99430624	NA	-
SLC25A28	chr10	99610522	99620609	NA	-
ENTPD7	chr10	99659509	99711241	NA	+
CUTC	chr10	99702558	99756134	NA	+
COX15	chr10	99710868	99732127	NA	-
ABCC2	chr10	99782640	99852594	NA	+
DNMBP	chr10	99875577	100009947	NA	-
ERLIN1	chr10	100150094	100186033	NA	-
CHUK	chr10	100188300	100229596	NA	-
CWF19L1	chr10	100232298	100267680	NA	-
BLOC1S2	chr10	100273280	100286680	NA	-
SCD	chr10	100347233	100364826	NA	+
WNT8B	chr10	100463009	100483744	NA	+
SEC31B	chr10	100486646	100519864	NA	-
NDUFB8	chr10	100523740	100530000	NA	-
HIF1AN	chr10	100529072	100559998	NA	+
PAX2	chr10	100735396	100829944	NA	+
SLF2	chr10	100912963	100965134	NA	+
MRPL43	chr10	100969458	100987515	NA	-
SEMA4G	chr10	100969518	100985871	NA	+
TWNK	chr10	100987367	100994403	NA	+
LZTS2	chr10	100996618	101007836	NA	+
PDZD7	chr10	101007679	101032295	NA	-
SFXN3	chr10	101031234	101041244	NA	+
KAZALD1	chr10	101061989	101068131	NA	+
BTRC	chr10	101354033	101557321	NA	+
DPCD	chr10	101570560	101609662	NA	+
POLL	chr10	101578882	101588270	NA	-
FBXW4	chr10	101610664	101695295	NA	-
NPM3	chr10	101781325	101783413	NA	-
KCNIP2	chr10	101825974	101843920	NA	-
HPS6	chr10	102065349	102068036	NA	+
LDB1	chr10	102106489	102120368	NA	-
PPRC1	chr10	102132994	102150333	NA	+
NOLC1	chr10	102152176	102163871	NA	+
ELOVL3	chr10	102226299	102229589	NA	+
PITX3	chr10	102230186	102241512	NA	-
GBF1	chr10	102245371	102382899	NA	+
NFKB2	chr10	102394110	102402524	NA	+
PSD	chr10	102402617	102421539	NA	-
FBXL15	chr10	102419189	102423136	NA	+
CUEDC2	chr10	102423245	102432584	NA	-
C10orf95	chr10	102449837	102451543	NA	-
MFSD13A	chr10	102461395	102477045	NA	+
ACTR1A	chr10	102461881	102502712	NA	-
SUFU	chr10	102503972	102633535	NA	+
TRIM8	chr10	102644479	102658318	NA	+
ARL3	chr10	102673731	102714397	NA	-
SFXN2	chr10	102714538	102743492	NA	+
WBP1L	chr10	102743948	102834516	NA	+
BORCS7	chr10	102854259	102864961	NA	+
BORCS7-ASMT	chr10	102854272	102901899	NA	+
AS3MT	chr10	102869470	102901899	NA	+
CNNM2	chr10	102918294	103090222	NA	+
NT5C2	chr10	103087185	103277605	NA	-
RPEL1	chr10	103245887	103248016	NA	+
PCGF6	chr10	103302796	103351144	NA	-
TAF5	chr10	103367976	103389065	NA	+
PDCD11	chr10	103396626	103446294	NA	+
CALHM2	chr10	103446786	103452402	NA	-
NEURL1	chr10	103493979	103592552	NA	+
SH3PXD2A	chr10	103594027	103855543	NA	-
STN1	chr10	103877569	103918184	NA	-
SLK	chr10	103967140	104029233	NA	+
COL17A1	chr10	104031286	104085880	NA	-
SFR1	chr10	104122058	104126385	NA	+
CFAP43	chr10	104129888	104232364	NA	-
GSTO1	chr10	104235356	104267459	NA	+
GSTO2	chr10	104268873	104304950	NA	+
ITPRIP	chr10	104309698	104338465	NA	-
CFAP58	chr10	104353833	104455102	NA	+
XPNPEP1	chr10	109864766	109923553	NA	-
ADD3	chr10	109996368	110135565	NA	+
MXI1	chr10	110207605	110287365	NA	+
SMNDC1	chr10	110290730	110304938	NA	-
DUSP5	chr10	110497907	110511533	NA	+
SMC3	chr10	110567695	110606048	NA	+
RBM20	chr10	110644336	110839468	NA	+
PDCD4	chr10	110871795	110900006	NA	+
BBIP1	chr10	110898730	110919201	NA	-
SHOC2	chr10	110919593	111013666	NA	+
GPAM	chr10	112149865	112215377	NA	-
ACSL5	chr10	112374116	112428379	NA	+
ZDHHC6	chr10	112424428	112447572	NA	-
VTI1A	chr10	112446998	112818744	NA	+
TCF7L2	chr10	112950247	113167678	NA	+
CASP7	chr10	113679162	113730907	NA	+
DCLRE1A	chr10	113834725	113854383	NA	-
NHLRC2	chr10	113854661	113917194	NA	+
ADRB1	chr10	114043866	114046904	NA	+
CCDC186	chr10	114120862	114174232	NA	-
AFAP1L2	chr10	114294824	114404756	NA	-
ABLIM1	chr10	114431113	114768061	NA	-
FAM160B1	chr10	114821744	114899832	NA	+
TRUB1	chr10	114938195	114977676	NA	+
ATRNL1	chr10	115093365	115948999	NA	+
HSPA12A	chr10	116671192	116850251	NA	-
ENO4	chr10	116849499	116911788	NA	+
SHTN1	chr10	116881477	117126586	NA	-
SLC18A2	chr10	117241093	117279430	NA	+
PDZD8	chr10	117277274	117375440	NA	-
RAB11FIP2	chr10	118004916	118046941	NA	-
FAM204A	chr10	118297925	118342328	NA	-
CACUL1	chr10	118674167	118755249	NA	-
NANOS1	chr10	119029714	119033730	NA	+
EIF3A	chr10	119033670	119080823	NA	-
SFXN4	chr10	119140767	119165714	NA	-
PRDX3	chr10	119167720	119178812	NA	-
GRK5	chr10	119207571	119459745	NA	+
RGS10	chr10	119499817	119542719	NA	-
TIAL1	chr10	119571802	119597029	NA	-
BAG3	chr10	119651380	119677819	NA	+
INPP5F	chr10	119726042	119829147	NA	+
MCMBP	chr10	119829404	119892556	NA	-
SEC23IP	chr10	119892730	119944657	NA	+
WDR11	chr10	120851305	120909524	NA	+
FGFR2	chr10	121478332	121598458	NA	-
ATE1	chr10	121740424	121928492	NA	-
NSMCE4A	chr10	121957091	121975217	NA	-
TACC2	chr10	121989163	122254545	NA	+
PLEKHA1	chr10	122374696	122442602	NA	+
CUZD1	chr10	122832158	122846175	NA	-
FAM24B	chr10	122849078	122879641	NA	-
C10orf88	chr10	122930901	122954311	NA	-
PSTK	chr10	122954381	122997513	NA	+
IKZF5	chr10	122990807	123008812	NA	-
ACADSB	chr10	123008979	123058290	NA	+
BUB3	chr10	123154402	123170467	NA	+
CHST15	chr10	124007668	124093598	NA	-
OAT	chr10	124397303	124418976	NA	-
NKX1-2	chr10	124445243	124450035	NA	-
LHPP	chr10	124461823	124617888	NA	+
FAM53B	chr10	124619292	124744378	NA	-
EEF1AKMT2	chr10	124748149	124791887	NA	-
ABRAXAS2	chr10	124801819	124836667	NA	+
ZRANB1	chr10	124942123	124988189	NA	+
CTBP2	chr10	124984317	125161170	NA	-
EDRF1	chr10	125719515	125764143	NA	+
UROS	chr10	125784980	125823258	NA	-
BCCIP	chr10	125823546	125853695	NA	+
DHX32	chr10	125836337	125896436	NA	-
FANK1	chr10	125896564	126009592	NA	+
DOCK1	chr10	126905409	127452517	NA	+
PTPRE	chr10	127907103	128085855	NA	+
MKI67	chr10	128096659	128126423	NA	-
MGMT	chr10	129467190	129770983	NA	+
GLRX3	chr10	130136391	130184521	NA	+
PPP2R2D	chr10	131901008	131959834	NA	+
BNIP3	chr10	131966455	131982013	NA	-
DPYSL4	chr10	132186948	132205759	NA	+
STK32C	chr10	132207492	132331847	NA	-
LRRC27	chr10	132332154	132381508	NA	+
PWWP2B	chr10	132397168	132417859	NA	+
INPP5A	chr10	132537787	132783480	NA	+
NKX6-2	chr10	132783179	132786147	NA	-
KNDC1	chr10	133160219	133226412	NA	+
TUBGCP2	chr10	133278635	133318823	NA	-
ZNF511	chr10	133308914	133313162	NA	+
ZNF511-PRAP1	chr10	133309410	133352529	NA	+
FUOM	chr10	133355158	133358025	NA	-
ECHS1	chr10	133362485	133373354	NA	-
PAOX	chr10	133379261	133391694	NA	+
MTG1	chr10	133394094	133422520	NA	+
SPRN	chr10	133420666	133424572	NA	-
SCART1	chr10	133453928	133523558	NA	+
BET1L	chr11	167784	207428	NA	-
RIC8A	chr11	207708	215113	NA	+
SIRT3	chr11	215030	236931	NA	-
PSMD13	chr11	236966	252984	NA	+
PGGHG	chr11	289126	296107	NA	+
IFITM2	chr11	303655	309397	NA	+
IFITM1	chr11	310041	315272	NA	+
IFITM3	chr11	319676	329475	NA	-
B4GALNT4	chr11	369499	382117	NA	+
PKP3	chr11	392614	404908	NA	+
SIGIRR	chr11	405716	417455	NA	-
ANO9	chr11	417933	442011	NA	-
PTDSS2	chr11	448268	491399	NA	+
RNH1	chr11	494512	507300	NA	-
HRAS	chr11	532242	537321	NA	-
LRRC56	chr11	537527	554912	NA	+
LMNTD2	chr11	554850	560738	NA	-
RASSF7	chr11	560404	564025	NA	+
PHRF1	chr11	576470	612222	NA	+
IRF7	chr11	612553	615983	NA	-
CDHR5	chr11	616577	626078	NA	-
DEAF1	chr11	644233	707118	NA	-
EPS8L2	chr11	694438	727727	NA	+
TMEM80	chr11	695591	705028	NA	+
TALDO1	chr11	747415	765012	NA	+
GATD1	chr11	767220	777488	NA	-
SLC25A22	chr11	790475	798281	NA	-
PANO1	chr11	797511	799190	NA	+
PIDD1	chr11	799179	809753	NA	-
RPLP2	chr11	809965	812880	NA	+
PNPLA2	chr11	818914	825573	NA	+
CRACR2B	chr11	826144	831991	NA	+
CD151	chr11	832887	839831	NA	+
POLR2L	chr11	837356	842529	NA	-
TSPAN4	chr11	842812	867116	NA	+
CHID1	chr11	867859	915058	NA	-
AP2A2	chr11	924894	1012245	NA	+
TOLLIP	chr11	1274371	1309654	NA	-
BRSK2	chr11	1389899	1462689	NA	+
MOB2	chr11	1469457	1501247	NA	-
DUSP8	chr11	1554051	1572271	NA	-
IFITM10	chr11	1732406	1750595	NA	-
CTSD	chr11	1752752	1764573	NA	-
MRPL23	chr11	1947278	1984522	NA	+
IGF2	chr11	2129112	2141238	NA	-
INS-IGF2	chr11	2132538	2161209	NA	-
CD81	chr11	2376177	2397397	NA	+
TSSC4	chr11	2400488	2403878	NA	+
KCNQ1	chr11	2444684	2849105	NA	+
CDKN1C	chr11	2883213	2885775	NA	-
SLC22A18AS	chr11	2887344	2903575	NA	-
SLC22A18	chr11	2899721	2925246	NA	+
PHLDA2	chr11	2928273	2929420	NA	-
NAP1L4	chr11	2944431	2992377	NA	-
OSBPL5	chr11	3087107	3166739	NA	-
ZNF195	chr11	3339261	3379222	NA	-
ART5	chr11	3638512	3642316	NA	-
CHRNA10	chr11	3665587	3671384	NA	-
NUP98	chr11	3671083	3797792	NA	-
PGAP2	chr11	3797724	3826371	NA	+
RHOG	chr11	3826978	3840959	NA	-
STIM1	chr11	3854527	4093210	NA	+
RRM1	chr11	4094707	4138932	NA	+
TRIM21	chr11	4384897	4393702	NA	-
TRIM68	chr11	4598672	4608231	NA	-
HBG2	chr11	5253188	5505605	NA	-
HBE1	chr11	5268345	5505652	NA	-
OR51B4	chr11	5301014	5301946	NA	-
OR51B5	chr11	5303444	5505652	NA	-
OR51B2	chr11	5323359	5324297	NA	-
OR51B6	chr11	5351508	5352446	NA	+
OR51M1	chr11	5383812	5393263	NA	+
OR51Q1	chr11	5422111	5423206	NA	+
OR51I1	chr11	5440570	5441514	NA	-
OR51I2	chr11	5449323	5456518	NA	+
OR52D1	chr11	5488685	5489749	NA	+
TRIM6	chr11	5596109	5612958	NA	+
TRIM6-TRIM34	chr11	5596725	5644398	NA	+
TRIM34	chr11	5619764	5644398	NA	+
TRIM5	chr11	5663195	5938619	NA	-
TRIM22	chr11	5689697	5737089	NA	+
C11orf42	chr11	6205557	6211135	NA	+
FAM160A2	chr11	6211345	6234711	NA	-
CAVIN3	chr11	6318946	6320532	NA	-
SMPD1	chr11	6390440	6394998	NA	+
APBB1	chr11	6395124	6419414	NA	-
TRIM3	chr11	6448613	6474459	NA	-
ARFIP2	chr11	6474683	6481479	NA	-
TIMM10B	chr11	6481501	6484681	NA	+
DNHD1	chr11	6497260	6593758	NA	+
RRP8	chr11	6595072	6603616	NA	-
ILK	chr11	6603708	6610874	NA	+
TAF10	chr11	6606294	6612539	NA	-
TPP1	chr11	6612768	6619448	NA	-
MRPL17	chr11	6680385	6683340	NA	-
ZNF215	chr11	6926404	7001004	NA	+
ZNF214	chr11	6997085	7020346	NA	-
NLRP14	chr11	7020479	7071526	NA	+
PPFIBP2	chr11	7513298	7657127	NA	+
CYB5R2	chr11	7665100	7677222	NA	-
EIF3F	chr11	7970251	8001862	NA	+
STK33	chr11	8391868	8594289	NA	-
TRIM66	chr11	8612037	8682694	NA	-
RPL27A	chr11	8682788	8714759	NA	+
AKIP1	chr11	8911139	8920084	NA	+
TMEM9B	chr11	8947202	8965011	NA	-
DENND5A	chr11	9138825	9265959	NA	-
TMEM41B	chr11	9280654	9314636	NA	-
IPO7	chr11	9384652	9448127	NA	+
ZNF143	chr11	9460319	9528524	NA	+
WEE1	chr11	9573670	9593457	NA	+
SWAP70	chr11	9664077	9752993	NA	+
SBF2	chr11	9778667	10294219	NA	-
ADM	chr11	10305073	10307397	NA	+
AMPD3	chr11	10308313	10507579	NA	+
MTRNR2L8	chr11	10507894	10509186	NA	-
RNF141	chr11	10511673	10541230	NA	-
CTR9	chr11	10751246	10801625	NA	+
EIF4G2	chr11	10797050	10808940	NA	-
ZBED5	chr11	10812074	10858796	NA	-
GALNT18	chr11	11270877	11622005	NA	-
CSNK2A3	chr11	11351942	11353250	NA	-
USP47	chr11	11841423	11961887	NA	+
MICAL2	chr11	12094008	12359144	NA	+
PARVA	chr11	12377563	12535356	NA	+
TEAD1	chr11	12674421	12944737	NA	+
ARNTL	chr11	13276652	13387266	NA	+
BTBD10	chr11	13388008	13463297	NA	-
FAR1	chr11	13668668	13732346	NA	+
SPON1	chr11	13962723	14268133	NA	+
RRAS2	chr11	14277922	14364506	NA	-
COPB1	chr11	14443440	14500027	NA	-
PSMA1	chr11	14504874	14643635	NA	-
PDE3B	chr11	14643804	14872044	NA	+
CYP2R1	chr11	14877440	14892231	NA	-
SOX6	chr11	15966449	16739591	NA	-
C11orf58	chr11	16613132	16758340	NA	+
PLEKHA7	chr11	16777297	17014414	NA	-
RPS13	chr11	17074388	17077715	NA	-
PIK3C2A	chr11	17077730	17207983	NA	-
NUCB2	chr11	17208153	17349980	NA	+
